Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
202,St. Vincent Grenadines,9585.0,123.0,29.0,8.0,113504.0,799.0
203,Antigua and Barbuda,9106.0,146.0,29.0,6.0,18901.0,799.0
204,Comoros,8992.0,161.0,29.0,4.0,,799.0
205,Guinea-Bissau,8947.0,176.0,29.0,115.0,145231.0,799.0
206,Liberia,8062.0,294.0,29.0,2.0,139824.0,799.0
207,Sierra Leone,7760.0,126.0,29.0,,259958.0,799.0
208,Chad,7652.0,194.0,29.0,2584.0,191341.0,799.0
209,British Virgin Islands,7305.0,64.0,29.0,,107339.0,799.0
210,Cook Islands,7011.0,2.0,29.0,16.0,19690.0,799.0
211,Saint Kitts and Nevis,6592.0,46.0,29.0,9.0,126903.0,799.0
212,Turks and Caicos,6522.0,38.0,29.0,33.0,611527.0,799.0
213,Sao Tome and Principe,6280.0,77.0,29.0,1.0,29036.0,799.0
214,Palau,5986.0,9.0,29.0,1.0,68820.0,799.0
215,St. Barth,5420.0,6.0,29.0,,78646.0,799.0
216,Kiribati,5008.0,18.0,29.0,2287.0,,799.0
217,Nauru,4621.0,1.0,29.0,11.0,20509.0,799.0
218,Anguilla,3904.0,12.0,29.0,13.0,51382.0,799.0
219,Macao,3488.0,120.0,29.0,11.0,7850.0,799.0
220,Saint Pierre Miquelon,3452.0,2.0,29.0,1001.0,25400.0,799.0
221,Wallis and Futuna,3427.0,7.0,438.0,2982.0,20508.0,799.0
222,Tuvalu,2805.0,155.0,29.0,2805.0,,799.0
223,Saint Helena,2166.0,155.0,2.0,2164.0,,799.0
224,Falkland Islands,1930.0,155.0,29.0,0.0,8632.0,799.0
225,Montserrat,1403.0,8.0,29.0,19.0,17762.0,799.0
226,Niue,747.0,155.0,746.0,1.0,,799.0
227,Diamond Princess,712.0,13.0,699.0,0.0,,799.0
228,Vatican City,29.0,155.0,29.0,0.0,,799.0
229,Western Sahara,10.0,1.0,9.0,0.0,,799.0
230,MS Zaandam,9.0,2.0,7.0,0.0,,799.0
231,Tokelau,5.0,155.0,29.0,5.0,,799.0
